id,sentiment,tweet
271,negative,فينو الاهبل ابن الاهبل
131,positive,على المصرييييين وجمالهم ربنا يحميهم #MinaAtta http://t.co/NkOvSx6mgD
118,positive,@Kholoudkewan  دول كتير اوى ودمهم خفيف العمارة اللي انا فيها كلها سوريين والأطفال عسل
6,negative,انا بعد كده  خلى اللى يوعنى   بحاجه همضى على وصل امانه علشان اضمن انو مش يخون
3430,negative,انا هنتحر
4,positive,في حفظ الله يا ريس http://t.co/RGKtP9QHZB
5,positive,يا عيون عطشان عطشانة سهر يا قلوب تعبانة تعبانة سفر كتروا من الحب تلاقوا تلاقوا في الضلمة ألف قمر
10,negative,#زهقنا_من اسامي اكونتات البنات على مواقع التواصل الاجتماعي زي مثلا شروق الشمس و الذهب الأزرق و أي بطيخ و السلام
11,positive,@Omarr793 حمد الله ع السلامة ✋
12,negative,@ahmedeslam07 أحا مين ؟!
13,positive,لما تشوف حد واحشك كان بقالك كتير مشفتوش♡
14,positive,دعاء نازله الجنينة حياتى♥ #StaracArabia  #DoaaElSebaii  دعاء السباعي دعاء السباعى دعاء السباعى
15,negative,@f7271c87648b4c5 لحد دلوقتي بيقول انه فاهم ...مش عارفه ليه حاسه انه بيكذب
17,negative,@MhmoudElgameil انا مشروخ مشروخ يا جمي
20,positive,"""""""مشيشتش بقالي أسبوع، انه إنجاز :D"""""""""
24,negative,كفايه البصه اللي ببصها لحد و انا مش طايق الحد ده ..
26,negative,احساس ان فى حد تانى خد مكانك من وسط الناس اللى بتحبهم وهما سابوه يخدو عادى . احساس وحش اوى
27,positive,@memoali4ever  بس انا كنت بحب المدرس بتاعها فلذلك حبتها
29,positive,و مين غيرك في قلبي اكتبله مرسالي
30,positive,السكينة لباسه والبر شعاره والتقوى ضميره والحكمة مقوله والصدق والوفاء طبيعته والعفو والمعروف خلقه والعدل سيرته والحق شريعته والهدى امامه
33,positive,@NesmaAbouleila @Tahoun71 ربنا يشفيه ويقوم بالسلامه ويشفى كل مريض
34,positive,"""""""متيأسش من اللي فات، واستبشر باللي جاي .. ربك كريم"""""""""
36,neutral,"""\""""@123Abdoibr: #عاجل  تردد قنوات الجزيره مباشر مصر التركيه دا التردد ياشباب 10921 علي معدل ترميز 27500 مدار 3 نايل سات مبروك يااحرار شير\""""\"""""
37,positive,"""التايم لاين مُفرح بطريقة تفرّح :\""""))"
40,negative,خخخخخخخ كسم تضيع الرميات
41,negative,متخصصين بنضيع ضربات جزاء ف كره القدم ورميات حره ف السله مرار
42,neutral,@waled21148264 اهل مكة ادرى بشعابها
44,negative,حالة من الاكتئاب و البؤس ..
47,positive,32 ثانيه .. الفرق 55 لينا .. ياااارب
51,positive,"""""""إذا بلغك عن أخيك شيء تكرهه ، فالتمس له العذر جهدك ،فإن لم تجد له عذرا ، فقل : لعل له عذرا لا أعلمه.... ربنا يسامح .."""""""""
53,positive,على الصقفة كلة يرقص على الصقفة كلة يرقص  زماااااااااااااااااااااااااالك
60,negative,احساس ان الدنيا تسود ادامك كره واحده وتلاقى هموم تقيله وقعت علىيك فجاه  احساس وحش اوووى
63,positive,من يملك الأخلاق والأدب يسكن في القلوب إلى الأدب
71,negative,@mimi_kokaice76 بس بيشتم مينا !
72,positive,"""الحياة ال ف خيالي حلوة اوووي :\"""")"
76,positive,لا تيأس إذا حرمك الله ما تحب ولا تحزن إذا انجبرت على التعايش مع وضع قد يؤلمك بل إبتسم لأن الله قال بكل رحمة وعسى أن تكرهوا شيئا وهو خير لكم
77,negative,مفتقدة اوي فكرة ان يكون في حد قدي في البيت.
79,negative,النهايات السعيده دائما تاتي في المشمش
81,positive,@ALIABAS81096753 @69_sou ياحﻻوتك ياسيسي استقبال رائع لرئيس مصر الججيدة القوية
82,positive,صحيح ان الغربة صعبة بس الوحدة جميلة :D تخلص من هموم الناس وتفضى لهومك تحلها :)
