id,class,tweet
7.84E+17,pos,إجبار أبل على التعاون على فك شفرة اجهزتها https://t.co/bBRbxNe6qP
7.84E+17,pos,RT @20fourMedia: #غوغل تتحدى أبل وأمازون بأجهزة جديدةhttps://t.co/lonD0nImA0 https://t.co/YQ9Da5gvBL
7.84E+17,pos,جوجل تنافس أبل وسامسونج بهاتف جديد https://t.co/5JPeCXDmKk
7.84E+17,pos,رئيس شركة أبل: الواقع المعزز سيصبح أهم من الطعامhttps://t.co/VQyBwD3Sw4@RoayahNews https://t.co/EYj3ewE7JY
7.84E+17,neu,ساعة أبل في الأسواق مرة أخرى https://t.co/dY2xOqQ9sI
7.84E+17,pos,أبل والجسار تفقدا مدينة «صباح الأحمد»: تذليل الصعوبات لاستكمال الخدمات في المدينة<br /> - محليات - https://t.co/F2K0iCMiIu
7.84E+17,neu,RT @RotanaMagz: بين #نوت7 و #آيفون7 عنصر مشترك!!https://t.co/WY32OzQFve#روتانا #تكنولوجيا
7.84E+17,neg,"#مشاهير عاصي الحلاني عن فضيحة بيغ أبل أوورد"": وحياة أولادي لم أدفع مالاً مقابل جائزتي: أثار مقال نشره الإعلا... https://t.co/qaGFCx85ZV"""
7.84E+17,neg,سمعة «أبل» على المحك.. مشكلة حقيقية في «آيفون 7» https://t.co/iMXoE8jbfK https://t.co/5HLUJ3DQHC
7.84E+17,neu,@google @Apple @SamsungMobile “غوغل” تتحدّى “أبل” و “سامسونغ”https://t.co/wEkwgtZ0iQ
7.84E+17,neu,“غوغل” تتحدّى “أبل” و “سامسونغ”: أعلنت جوجل يوم الثلاثاء عن هاتف ذكي جديد باسم “بيكسل” وجهاز للواقع الافتراضي... https://t.co/hRIHsRXaLA
7.84E+17,neu,#جمال_فياض.. هكذا تحدث لمجلة #سيدتي عن حقيقة شراء #عاصي_الحلاني ل #بيغ_أبل_أووردhttps://t.co/LRAGnXhHzM#أخبار#مشاهير
7.84E+17,pos,#Google #Apple #Samsung “#غوغل” تتحدّى “#أبل” و “#سامسونغ” https://t.co/PXG2cLaJId
7.84E+17,neu,#Arabworld #Worldwide “غوغل” تتحدّى “أبل” و “سامسونغ” https://t.co/PXG2cLaJId
7.84E+17,neu,«أبل» من ستيف جوبز إلى تيم كوك https://t.co/qiziWQRiwV
7.84E+17,neg,"RT @sayidatystars: كيف رد #عاصي_الحلاني بعد اتهامه بشراء جائزة بيغ أبل أوورد""؟https://t.co/q0qpPp0LD3 https://t.co/OFeCuiWzsG"""
7.84E+17,neu,غوغل تتحدى أبل وأمازون بأجهزة جديدة  https://t.co/GayUxtZs1V https://t.co/Hp2rQ8VhfI
7.84E+17,neu,شركة أبل : الواقع المعزز سيصبح أهم من الطعام في المستقبل https://t.co/QBHnXxub7S عبر @EbaaTV
7.84E+17,pos,RT @Almgharq8: أبل والجسار: توفير الخدمات العامة لأهالي مدينة صباح الأحمد https://t.co/77tOwiYlxA https://t.co/1PaJ8vdf5r
7.84E+17,neu,النائب أبل يسأل الوزير العبيدي عن الملاحق الصحية بالخارج https://t.co/gh10zTsj5i
7.84E+17,neg,النائب أبل : رفع الدعم عن البنزين قرار معيب https://t.co/dw30YI2VD4
7.84E+17,neu,#جوجل تتحدّى #أبل و #سامسونج عبر #هاتفها_الذكي الجديد  https://t.co/E4NKUKkpAY  #تكنولوجيا  @ChababsTweet https://t.co/SweCEEBw9q
7.84E+17,pos,"سامسونج"" تنافس أبل وتستحوذ على الشركة المطورة لسيرى https://t.co/1jgCIVYrie #البحرين #الكويت #السعودية #الإمارات #قطر #عمان #المنامة #تكن…"""
7.84E+17,neu,"نوكيا.. عملاق فنلندي حطمته"" أبل وسامسونغ https://t.co/MkSPUmYSBY"""
7.84E+17,neu,"تقارير: استحواذ أبل وجوجل"" على ""تويتر"" مجرد شائعات https://t.co/n8xbK5tWH4"""
7.84E+17,neu,مفاجأة.. أبل تطور هاتف آيفون 8 فى إسرائيل https://t.co/QmT6rL7s44
7.84E+17,neu,"أبل: خطأ 53""... https://t.co/0PjXcYMUFo"""
7.84E+17,neu,كشفت شركة جوجل عن مزايا عديدة في هاتف بيكسل الذكي الذي طرحته، منذ أيام، بهدف منافسة أبل وسامسونج.إحدى هذه ا... https://t.co/BUXqVT1dIh
7.84E+17,pos,جوجل تتحدى أبل وسامسونج بهاتف جديد https://t.co/lzdW4TOMCW https://t.co/RLC6DfEZ8C
7.84E+17,neu,#نون_أون_لاينميزة في هاتف جوجل تكشف «ابتزاز أبل»ttp://nononline.com/?p=162728 https://t.co/peXrF8LpHM
7.84E+17,pos,"أبل الشرق"" تستعد لإطلاق قاتل ""جلاكسي نوت 7"" https://t.co/abyVzEA4Jd"""
7.84E+17,pos,"أبل"" العلامة التجارية الأعلى قيمة.. و""فيس بوك"" الأكثر نموا https://t.co/ikGxgEUdEc"""
7.84E+17,neu,5 حقائق عن ابل لم يخطروا على بال أحد من قبل ! https://t.co/uqwNwaih6U
7.84E+17,pos,“أبل” تتربّع على عرش العلامات التجارية الأكثر قيمة في العالم https://t.co/FKXz6IzqV3 #المواطن
7.84E+17,neu,"ميزة في هاتف بيكسل"" الجديد تُحرج ""أبل""https://t.co/gUwwDQNxCE"""
7.84E+17,neg,شاهد #زبون #فرنسي غاضب يقتحم أحد متاجر #شركة_أبل  https://t.co/1OWbLJmgh0  #تكنولوجيا  @ChababsTweet https://t.co/qgVmfOdKhp
7.84E+17,neg,أبل .. هل وصلت لمرحلة الشيخوخة؟ https://t.co/Z4H3G17xe2
7.85E+17,neu,شاهد “JUUK”حزام من الألومنيوم لساعة أبل الذكية بسعر 50 دولار فقط https://t.co/7jDM9bQdv3
7.85E+17,neu,RT @KuwaitiApp: أبل لـ «الراي»: 2200 شقة للكويتيات ... وللمشمولين بقانون «من باع بيته» - محليات - https://t.co/32XI4w3zos
7.85E+17,neu,#صحيفة_الوئام ميزة في هاتف غوغل تكشف “ابتزاز أبل” https://t.co/MxCiXVk0uj #عاصفة_الحزم
7.85E+17,neu,"ميزة في هاتف #غوغل تكشف ابتزاز #أبل"" - للتفاصيل اضغط الرابط https://t.co/zRvstKtGyo #الوطن_العربى https://t.co/TfKY9DTFWX"""
7.85E+17,neg,"أبل تحذف تطبيقا شهيرا من آب ستور"" وغضب من المطورين https://t.co/FmJvZ5skcO #البحرين #الكويت #السعودية #الإمارات #قطر #عمان #المنامة #تكنو…"""
7.85E+17,neu,#شمعة الكترونية لمستخدمي #أجهزة #أبلhttps://t.co/8LikGFNvm9 https://t.co/hV8W8RYY2w
7.85E+17,neu,ميزة في هاتف «جوجل» تكشف ابتزاز «أبل» https://t.co/ZtFyfDk79x https://t.co/6ygRaXjIvq
7.85E+17,neu,"RT @al_watanQatar: ميزة في هاتف #جوجل تكشف ابتزاز #أبل""#الوطن #منوعاتhttps://t.co/KaNF8vB5gD https://t.co/ZoMwjbvf8T"""
7.85E+17,neu,"أبل"" تحذف Dash https://t.co/r5xlTTCqUW https://t.co/05WyMLHY4Z"""
7.85E+17,pos,RT @20fourMedia: #أبل تكسب معركة بـ 120 مليون دولار ضد #سامسونغ بشأن براءاتhttps://t.co/ZyXnCtxtHN https://t.co/mYfbAKw7dd
7.85E+17,neu,#اخبار_مستخبية اهم اخبار المغرب : أبل تكسب معركة ضد سامسونغ بشأن براءات https://t.co/JqtlNA9O6n #اخبار_الفن… https://t.co/LhkEqKeaUV
7.85E+17,pos,أخبارنا تكنولوجيا | أبل تكسب معركة ضد سامسونغ بشأن براءات - سجلت أبل فوزاً غير متوقع على سامسونغ مع إعادة محكمة... https://t.co/udVBxsiLUC
7.85E+17,neu,إبتكار #أبل المذهل، تنفّذه الشركات المنافسة  https://t.co/I7fLcVFHy3  #تكنولوجيا https://t.co/qsjVerYNuQ
7.85E+17,neu,"شركة فرنسية تقاضى أبل"" لإجبارها على فتح الآيفون للمتصفحات المنافسة https://t.co/RJZQSweXxk #البحرين #الكويت #السعودية #الإمارات #قطر #عما…"""
7.85E+17,pos,أبل تكسب معركة ضد سامسونغ بشأن براءات.https://t.co/2PWSkriVyv https://t.co/mLtwfPy8Uw
7.85E+17,pos,“أبل” تكسب معركة قضائية ضد “سامسونغ” https://t.co/hGjmhe0Sua https://t.co/ahr4dXYltw https://t.co/xxdrB1OzG9
7.85E+17,pos,"أبل"" تكسب معركة قضائية ضد ""سامسونغ""https://t.co/G6BUs2IPLKسجلت ""أبل"" فوزا غير متوقع على ""سامسونغ""، مع إعادة محكمة استئناف أمريكية فرض…"""
7.85E+17,neu,دسمان | حبيب أبل : أعداد طلبة البعثات الداخلية تقلصت 20٪ مقارنة بالعام الماضي - https://t.co/rQxWrviuLM
7.85E+17,neu,ميزة في هاتف جوجل تكشف “ابتزاز أبل”هاشتاق عربي- مزايا عديدة كشفت عنها جوجل في هاتف “بيكس… https://t.co/FLZxQuePT5 https://t.co/NFzAI7Adkp
7.85E+17,pos,RT @RTarabic: #أبل  تكسب معركة قضائية ضد #سامسونغ #اسأل_أكثرhttps://t.co/zM1QaK7pRk https://t.co/Fe8XpsOfk9
7.85E+17,pos,"أبل"" تكسب معركة قضائية ضد ""سامسونغ""  https://t.co/bPJmv5BzXo via @RTarabic"""
7.85E+17,pos,RT @RTarabic: #أبل تسجل فوزا غير متوقع على #سامسونغ!؟https://t.co/zM1QaKp1fU#اسأل_أكثر https://t.co/yaWBvegFaB
7.85E+17,pos,أبل تفوز على سامسونج.. كيف؟!: المواطن – وكالات فوز غير متوقع سجلته “أبل” على “سامسونج”، وذلك مع إعادة محكمة ا... https://t.co/L8QCamVMSK
7.85E+17,pos,RT @almowatennet: أبل تفوز على سامسونج.. كيف؟! https://t.co/wrHycqUf8Q
7.85E+17,neu,أبل أكبر المستفيدين من مشكلات شركات التكنوجيا https://t.co/Znboiwyvfq
7.85E+17,neg,RT @OKAZ_online: «أبل» و«#سامسونغ» تتبادلان السرقة https://t.co/9tFPhzUOKi#عكاظ #ابل https://t.co/eBKK4vyLBv
7.85E+17,neu,تجدد النزاع القانوني بين أبل وسامسونغ: عاد النزاع القانوني بين سامسونغ وأبل إلى الأضواء مرة أخرى بعدما قضت مح... https://t.co/ia8IWThuEO
7.85E+17,neu,أبل تكشف حجم الطلبات الحكومية لترصد عملائها https://t.co/clIXZ18KUt https://t.co/eorttLLdEE
7.85E+17,neg,ميزة في هاتف #غوغل تكشف “ابتزاز #أبل”https://t.co/2YqXBMoF5c https://t.co/4GzgQ8FBIF
7.85E+17,pos,إنفوجرافيك.. أبل تتصدر قائمة أعلى الشركات قيمةهاشتاق عربي- تواصل شركة أبل تصدر الشركات ا… https://t.co/G4Cm6W2g8n https://t.co/pavCjJsznG
7.85E+17,pos,إنفوجرافيك.. أبل تتصدر قائمة أعلى الشركات قيمة#هاشتاق_عربي #إنفوجرافيك #أبل #الشركات https://t.co/0QUAKkc7Qq
7.85E+17,pos,#صور: تعرف على الشركات الأعلى قيمة في العالم#اقتصادhttps://t.co/bsDFnFM0En https://t.co/z6VfIYbULm
7.85E+17,neg,"دعوى قضائية ضد أبل"" تتهمها بالاحتيال على المستخدمين https://t.co/NFwqjIpDvE #البحرين #الكويت #السعودية #الإمارات #قطر #عمان #المنامة #تكن…"""
7.85E+17,neg,شركة فرنسية تقاضي #أبل لاستخدامها لغة برمجة خاصة بهاhttps://t.co/aYRv5MPEdq https://t.co/Hq4HpkJu15
7.85E+17,neu,"اتهام شركة أبل"" بالاحتيال على المستخدمين #اتهام_شركة_""أبل"" #بالاحتيال_على_المستخدمين https://t.co/QF66XmxTrX https://t.co/RO0ggEWUBd"""
7.85E+17,pos,أبل تتصدر قائمة أعلى الشركات قيمة https://t.co/dWhFutTtG5 https://t.co/0XwVx2uTgl
